PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
27,14,ADVANCED,42,1.903498769,1.784279823,1.367511511,1.15628016,1.412050009,0.743573725,-0.153279424,0.042628776,-0.249243066,0.8897000314444443
28,15,ADVANCED,44,2.458549261,2.329491854,2.984187126,2.998157978,3.253495216,3.116732359,3.265810013,3.110731602,3.113387108,2.958949168555556
29,14,ADVANCED,43,6.07738018,7.057779312,7.333999634,6.332288742,6.73256588,6.672206879,4.849549294,4.746632576,4.888630867,6.0767814848888895
30,17,ADVANCED,44,4.482727051,6.51069212,6.302056789,6.006178856,8.151063919,7.464118004,4.634128094,4.750427723,4.962799549,5.918243567222222
31,12,INTERMEDIATE,38,0.370805264,-2.056065559,-3.80961e-4,2.706030607,0.70705694,1.488047719,4.894994736,3.779301882,2.429812431,1.5910670065555559
32,13,INTERMEDIATE,32,8.114413261,9.007667542,7.973778248,8.651310921,8.85100174,8.31708622,6.191390038,5.920571327,6.776885033,7.756011592222222
33,11,INTERMEDIATE,35,-2.020868063,-3.344785929,-4.378848553,0.312913507,-1.485769153,-2.464406252,0.763803244,0.136835352,0.362096429,-1.3465588242222222
34,16,INTERMEDIATE,37,-0.71907413,-1.531321764,-2.53392148,0.339329481,-0.776123226,-1.811724067,0.409033895,-0.102910452,-0.515823126,-0.8047260965555556
35,15,INTERMEDIATE,34,8.265916824,7.620208263,6.967013836,8.78687191,8.787963867,7.282836437,5.957976818,5.166229725,5.140967369,7.108442783222222
36,14,INTERMEDIATE,31,0.70220685,0.320135981,-0.413918316,1.168585181,1.399554968,0.471914828,2.845476389,1.344810724,0.446558297,0.9205916557777777
37,15,INTERMEDIATE,32,5.005812168,6.119328022,4.1363058090000004,6.240709305,6.786923409,5.322266102,4.507016182,3.737797022,3.754075527,5.067803727333333
38,15,INTERMEDIATE,38,6.168472767,6.676651478,7.270846367,5.786682606,6.326686859,6.704717636,1.262646794,1.440447927,1.709456682,4.816289901777778
39,21,INTERMEDIATE,35,9.044407845,9.121880531,9.820870399,9.537557602,11.01895714,11.12612343,6.53198576,5.091733932,5.860644817,8.572684606222222
40,14,INTERMEDIATE,36,5.032971382,5.652275085,5.952271461,5.903047085,6.175199986,6.498565197,6.164452553,5.664412975,6.200974941,5.916018962777777
41,13,INTERMEDIATE,37,6.268819332,4.301902771,3.18857789,6.786374569,5.423919678,4.186859131,2.916723967,2.208231926,3.487436056,4.30764948
42,12,INTERMEDIATE,31,3.691897869,4.788823128,5.17743063,5.060432434,4.853508949,1.341203332,5.231893063,3.903479576,2.792959929,4.093514323333333
43,12,INTERMEDIATE,35,6.826998711,6.522546291,6.513598919,7.72762537,6.312528133,5.900163174,4.678398609,3.13018322,2.952315807,5.618262026
44,17,INTERMEDIATE,35,6.937493324,7.94707489,6.702516079,7.065624714,8.490029335,6.886669636,4.377500534,4.113232136,4.060084343,6.286691665666667
45,12,INTERMEDIATE,39,1.492072344,0.572661877,4.033047199,2.60912466,3.531732321,5.296553612,3.143861532,4.181233406,6.02371645,3.4315559334444448
46,15,INTERMEDIATE,38,0.333539665,-0.843051374,2.09267354,1.271866202,-0.096235886,2.518569708,-0.004367421,-0.544636011,-0.486698985,0.471295493111111
47,15,INTERMEDIATE,34,0.240835831,1.1394701,0.863772273,0.54167223,1.496495962,0.96787256,0.522674739,0.716611028,0.616969824,0.7895971718888889
48,13,INTERMEDIATE,35,10.36418247,8.797013283,8.57476902,11.4900713,9.777600288,9.317280769,10.34320164,8.95021534,8.798716545,9.601450072777778
49,14,INTERMEDIATE,31,3.97117877,5.733803749,5.797283649,5.68880415,6.910369396,6.554778576,6.300383568,6.184135437,6.378036499,5.946530421555555
50,10,INTERMEDIATE,35,0.909169316,0.567334533,0.777383685,1.618258119,1.347439408,2.044900656,-0.110423468,-0.162918866,1.101952076,0.8992328287777779
51,13,LOW,24,4.870564461,3.367062569,3.308098793,5.572122574,4.101875305,4.011924267,6.351727009,5.348186493,4.669249535,4.622312333999999
