PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
29,14,ADVANCED,43,2.877655029,3.984606504,3.95809269,2.498680115,2.994819403,3.678549528,0.395191908,0.451819927,0.966003418,2.422824280222222
30,17,ADVANCED,44,2.452887774,3.807370663,4.378159523,2.151022196,3.702838898,3.962527037,0.857830524,1.387403011,1.656532645,2.706285807888889
31,12,INTERMEDIATE,38,0.560757101,0.842315078,1.821661115,1.881895542,1.208220482,2.547004223,3.023429632,3.081638575,2.794842482,1.973529358888889
32,13,INTERMEDIATE,32,5.686789036,5.380970478,5.428834915,5.190950871,4.705199242,4.652634144,2.023775816,1.39683342,1.604040623,4.007780949444445
33,11,INTERMEDIATE,35,1.590379953,0.119532734,0.219562843,1.081741214,0.162368804,0.526889741,-0.037791718,-0.168604493,0.221583471,0.41285139433333345
34,16,INTERMEDIATE,37,0.296411961,-0.396245599,-0.400306791,1.494441509,0.432350963,0.437986135,0.697002053,0.307853341,-0.018825097,0.31674094166666666
35,15,INTERMEDIATE,34,4.682203293,4.642586231,2.886368752,5.033810616,5.602768898,3.454678774,2.944060802,2.120617151,2.391155005,3.7509166135555554
36,14,INTERMEDIATE,31,0.12422099,-0.960891128,-0.131650925,0.936954021,1.273815751,2.004323006,3.129361153,1.892308235,2.358005285,1.1807162653333334
37,15,INTERMEDIATE,32,3.522179604,2.818826437,3.385673285,3.40527153,2.775322914,3.374264717,1.892301083,1.485941291,1.78171432,2.7157216867777776
38,15,INTERMEDIATE,38,2.784406424,3.247357845,3.681782961,2.846461535,3.448132992,3.394126415,0.490463108,1.159733295,1.203240514,2.472856121
39,21,INTERMEDIATE,35,8.684299469,8.204118729,7.549001694,8.889370918,9.236920357,8.757012367,5.456983089,4.372373581,4.847060204,7.3330156008888885
40,14,INTERMEDIATE,36,3.728286982,3.504487276,3.479134798,4.206712723,4.215137005,4.073131084,4.706469059,4.259366989,4.233352184,4.045119788888888
41,13,INTERMEDIATE,37,3.22499609,2.065903425,2.516936064,2.705731153,2.41499877,2.631416082,-1.169758081,-0.70684284,0.030054249,1.5237149902222222
42,12,INTERMEDIATE,31,5.401045799,6.268355846,5.340310097,4.837554455,5.215614796,-4.187448978,3.114416838,1.85495162,0.877209246,3.1913344132222226
43,12,INTERMEDIATE,35,6.879639149,7.503931522,6.515523434,7.154169083,6.8671422,5.002696037,3.997162342,2.565645218,2.15942049,5.405036608333335
44,17,INTERMEDIATE,35,0.767668903,0.451913953,1.224703312,1.096472502,0.387506545,1.048886657,-0.037956856,-0.272099644,0.027798586,0.5216548842222222
45,12,INTERMEDIATE,39,2.866660595,3.058483124,4.061398029,3.29776144,4.154576302,4.792084694,3.76774168,4.045446873,5.070809841,3.901662508666667
46,15,INTERMEDIATE,38,1.236307383,-1.059266448,-1.14250195,-0.049377836,-1.603600979,-1.360351086,-2.632725,-3.292820454,-3.532371283,-1.4929675169999999
