PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,condition,mean
45,12,INTERMEDIATE,39,number,5.620303922
46,15,INTERMEDIATE,38,gender,0.471295493
46,15,INTERMEDIATE,38,grammatical,-1.492967517
46,15,INTERMEDIATE,38,number,3.737014324
47,15,INTERMEDIATE,34,gender,0.789597172
47,15,INTERMEDIATE,34,grammatical,0.216336077
47,15,INTERMEDIATE,34,number,3.699183437
48,13,INTERMEDIATE,35,gender,9.601450073
48,13,INTERMEDIATE,35,grammatical,0.307858618
48,13,INTERMEDIATE,35,number,10.67877727
49,14,INTERMEDIATE,31,gender,5.946530422
49,14,INTERMEDIATE,31,grammatical,4.932898362
49,14,INTERMEDIATE,31,number,6.315837807
50,10,INTERMEDIATE,35,gender,0.899232829
50,10,INTERMEDIATE,35,grammatical,-0.482450936
50,10,INTERMEDIATE,35,number,2.560010688
51,13,LOW,24,gender,4.622312334
51,13,LOW,24,grammatical,0.886291572
51,13,LOW,24,number,-0.33015742
52,13,LOW,27,gender,14.96736961
52,13,LOW,27,grammatical,7.227001905
52,13,LOW,27,number,8.581184864
53,15,LOW,25,gender,0.178665192
53,15,LOW,25,grammatical,-0.269243916
53,15,LOW,25,number,2.876798812
54,20,LOW,19,gender,3.600413687
54,20,LOW,19,grammatical,-2.255626838
54,20,LOW,19,number,0.021115642
55,8,LOW,15,gender,-0.077812137
55,8,LOW,15,grammatical,-1.591699375
55,8,LOW,15,number,-0.528738839
56,16,LOW,12,gender,-3.187156439
56,16,LOW,12,grammatical,-0.787715583
56,16,LOW,12,number,0.383831595
57,13,LOW,24,gender,0.438119981
57,13,LOW,24,grammatical,0.718208674
57,13,LOW,24,number,3.000565476
58,16,LOW,17,gender,5.789592637
58,16,LOW,17,grammatical,4.935644017
58,16,LOW,17,number,4.890624285
59,14,LOW,23,gender,5.390729533
59,14,LOW,23,grammatical,2.769328263
59,14,LOW,23,number,10.1342801
60,15,LOW,24,gender,7.172998852
60,15,LOW,24,grammatical,5.057345602
60,15,LOW,24,number,6.225343598
61,18,LOW,22,gender,4.252074798
61,18,LOW,22,grammatical,3.385445118
61,18,LOW,22,number,8.909542878
62,11,LOW,24,gender,-2.623879453
62,11,LOW,24,grammatical,-0.266118424
62,11,LOW,24,number,4.172618071
63,14,LOW,24,gender,2.383148445
63,14,LOW,24,grammatical,3.205894285
63,14,LOW,24,number,4.487196816
64,15,LOW,21,gender,-0.720930719
64,15,LOW,21,grammatical,1.08347542
