,,,,WITHIN-PHRASE GRAMMATICAL_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE NUMBER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE GENDER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
10,18,ADVANCED,40,-5.739465714,4.321204185,-6.416632175,-1.764498472,1.347701311,4.753248215,3.420636892,3.524369478,1.043700695,4.124996185,2.182273149,-0.496317387,-0.324923575,3.944285154,2.425782681,2.789228916,3.005704403,-6.510473251,0.37501201,-2.303431511,4.563835144,3.047903061,4.953875065,2.842978954,4.143779755,3.340730667,1.474497557,0.786556304,3.344875574,1.910124898,4.471339226,-8.098232269,7.929459095,-6.902000427,-6.805214405,3.247294426,7.070649624,7.283385754,6.309269905,-0.645256996,9.027905464,5.247179508,0.714377522,2.42668128,3.061938763,4.114550591,6.064188004,3.765075207,-9.523514748,-2.703700066,1.326008081,4.941013336,6.378156662,8.674986839,6.020227909,6.097465038,1.600685239,-1.532018304,2.850285769,1.168156505,4.037065983,5.452473164,-8.935375214,5.054850578,-7.645127773,-5.54185009,2.567485571,5.000438213,4.837010384,3.75449276,-0.842589021,5.378545761,3.733507156,-0.549336374,1.923021436,3.378913164,3.681485653,3.118041992,2.447572708,-10.30908203,-2.301147461,0.193142593,4.027151585,4.636520386,6.124117374,2.741286755,4.12539959,1.854419351,-0.733223438,2.560135603,1.640216827,3.280513048,4.643992901
11,11,ADVANCED,49,-1.983455777,2.320125341,-2.580824852,-0.233211413,0.349725485,3.533406734,2.755126238,1.833993435,-0.506799102,2.96405077,1.386074305,-0.778375924,-0.421336353,2.361852884,0.658941805,0.716336548,0.728754222,-1.651159525,-0.396912575,-1.310134411,2.696109056,1.942903042,4.333052635,0.961128175,1.355599046,1.055077314,1.685881019,-0.417819262,1.982239842,0.085521147,2.700265884,0.103628717,5.949074745,-0.34009397,1.720939636,3.322026014,6.976580143,6.488481998,5.515928745,2.973655939,7.036088943,4.58479929,2.615174294,2.300756693,5.187286854,2.992147684,4.253128052,4.073909283,-0.004027728,2.957704782,1.037476182,5.858253479,5.62240839,7.888719082,4.413451672,4.751585007,4.094836235,3.995108128,2.354459286,4.983250618,2.634260178,5.664200306,1.236611366,5.412996292,0.249391481,2.694018602,3.072884321,6.612763882,5.82679987,5.331232071,3.166349411,6.916235924,3.802577972,2.250584841,1.361305356,5.033964634,3.112028122,5.125118732,3.446059465,1.525226235,3.408936977,0.353416055,5.544187546,4.729999542,7.668020248,4.921218395,4.036943913,4.26895237,4.267465115,1.760863066,5.163381577,2.510268688,5.484804153
12,13.5,ADVANCED,42,0.138377279,6.24623394,-0.41046375,-1.245688319,3.800840378,7.52785635,4.800239563,4.037723541,4.280865669,6.750451565,4.215453625,3.315060377,1.644059062,2.530395508,2.324795961,2.439816713,5.688898563,-1.383677244,2.329673767,1.015411854,6.991448402,4.887660503,7.681798935,3.284096241,5.786625385,4.468721867,0.874286413,1.914303422,1.309786439,1.845565915,4.169020653,1.887965322,17.32518387,2.733180046,-1.529468656,9.657461166,13.97878265,12.83860207,9.97802639,8.656991959,17.15151024,10.74620152,8.109417915,4.646879673,5.464574337,5.370548725,7.532869816,11.68960476,0.098633811,5.743020535,4.18712759,11.32294178,12.22498226,15.11636543,8.685498238,14.96496677,7.803349495,1.899209619,4.204627514,3.349615574,4.686253548,7.209514141,1.663881302,12.80717182,1.364433885,-0.093590952,6.199211597,11.12613392,10.09979153,8.788163185,6.568796158,13.32862759,7.086608887,5.013030052,3.610213518,4.223664761,4.477103233,5.625577927,8.474192619,-0.168728128,4.613383293,3.127127171,9.306628227,8.894571304,13.05125523,7.001984596,11.41394615,6.807546616,2.290102959,2.33344698,2.706754684,3.237291813,6.6860919
13,10,ADVANCED,43,0.885045767,1.943026066,0.956640184,1.531135559,2.030098677,2.269165754,1.504306197,-0.45021531,2.102432966,1.597579479,1.926015377,0.915278971,1.206854701,1.910649657,0.351490766,-0.047934931,2.730617285,-0.317855388,2.256146431,0.497708619,2.387132406,1.920552492,1.305123448,-0.128344029,2.332716465,2.199821711,2.45385766,1.975683451,2.22337079,1.78856504,0.811087072,-0.015359384,5.934725285,-0.501838267,2.219809055,4.721652508,5.411907196,4.73039341,1.593759656,3.435065985,5.894618034,4.529172897,3.606729269,2.36230588,3.182008028,1.730725169,2.295183897,4.153198719,-0.562439799,3.349740267,1.45869875,5.164219856,4.780919075,4.721751213,1.96579659,5.107252121,4.543375015,2.78743124,1.994570732,3.687973022,2.441213369,2.422919512,-3.102131128,5.084209919,-4.847802162,1.255284905,2.766398191,4.201439381,3.061745167,2.692564726,3.346981287,5.105125904,3.373765945,2.789406776,0.973239243,1.809272766,0.432942986,1.774134159,4.040547848,-3.333780527,2.89634347,-1.931970119,4.209452152,3.358340263,4.116146088,2.303595781,4.844141483,4.14875555,2.142242193,0.893618047,2.560386419,0.937634349,1.275978446
14,19,ADVANCED,46,-6.110232353,3.111386061,-5.950518131,-4.992544651,1.35034883,2.389154434,2.147527456,1.253682017,-0.31318289,2.794472694,2.123342037,-0.055746973,0.722233474,1.894138575,0.421860963,1.202568889,1.435462117,-7.359082222,-1.433809757,0.489147395,1.941201091,1.97265625,2.672883749,1.369470239,2.736596823,0.861973047,-1.121144176,0.873968959,0.590004861,0.288879931,2.125744104,-4.506707191,6.128061295,-5.506548405,-4.083052158,3.694792509,5.675177574,5.274771214,3.275342703,2.496749163,5.954766273,4.667598724,2.262753725,1.468592167,3.001857758,2.226524591,3.614896297,5.340425491,-6.4387393,0.292914212,1.175272942,5.038294315,4.986760616,5.959499836,3.162143946,6.291389942,3.294124365,-0.424010307,1.319222927,1.409576058,1.689819694,3.503705502,-4.138877869,4.970520496,-4.491569042,-2.897623777,3.340161085,4.797776222,4.336092949,2.258946657,2.129441977,4.676693439,4.059604168,1.741121292,1.081357718,2.725456953,1.294881225,2.351259708,4.378955841,-5.716649532,0.661405385,0.396915287,4.185896397,4.181216717,4.584213734,2.340856791,5.256995201,2.972484827,0.233248636,1.096419573,1.637901306,1.169652939,2.508368015
15,14,ADVANCED,45,0.399368674,5.0772295,-1.059746742,2.709312677,3.317245722,5.810972691,3.378106594,1.903610587,2.951347113,4.348957062,3.928766966,3.035041332,1.932219625,5.123358727,1.913468361,1.196548104,3.64097023,-1.217511892,3.102931976,1.063339949,5.680451393,3.779703617,5.060901642,1.509444118,4.481650352,4.611251831,4.073729992,2.183170319,4.816927433,2.465677977,4.016917706,-2.167928696,3.92222023,-2.611412287,-1.14202261,2.02711916,4.088378906,2.882637024,1.763207674,1.48484695,3.743928194,2.759066582,0.946976244,1.207349062,3.912351847,1.262518883,0.814048648,2.125059366,-3.303802013,0.71436125,0.174181446,3.715223789,3.385588169,3.849731922,1.188869596,3.579013586,2.211014271,1.358846664,1.541326165,2.92172575,2.181502819,3.460098505,-1.862378478,2.898808479,-2.063010216,-0.429530084,2.030094385,3.839023829,2.125936985,1.399904013,0.511094511,3.001173496,1.84527874,1.161071897,0.935449243,3.383052588,0.411539406,0.272177726,1.565143704,-2.743777037,1.291964173,0.625744522,2.852911711,2.226713657,3.842858076,0.513307869,2.352178097,2.20805645,1.37482059,0.657423377,2.679836273,1.006868601,2.606702566
16,11.5,ADVANCED,43,-8.820083618,1.148002386,-9.331979752,-2.439360142,1.447194695,0.662547946,1.036973596,-0.505068541,-1.139995813,0.601519108,1.815800905,-0.490096837,1.601230264,1.647419572,1.497083187,-0.119457275,1.794831634,-9.705295563,-1.913153172,-0.134932145,0.471531719,1.442291021,0.405240476,-0.4377729,1.785884023,-0.156482115,0.64391768,1.881174445,1.644711375,2.001890182,0.82603246,-9.932948112,3.368032694,-10.15532303,-4.184607029,2.320207834,1.661715388,3.718103886,1.168127775,-1.460419655,3.24924469,3.253884554,-0.888504505,1.448442459,1.193973303,2.918573856,2.258628607,2.169177055,-10.46737576,-2.376826048,-0.796039879,1.468027353,3.857630253,2.09339118,1.266351342,3.161156654,-0.219716996,-1.319040775,2.473244905,0.697667241,2.801523447,1.000799656,-8.057797432,3.69317317,-9.397924423,-2.662082195,0.959129572,2.691926718,3.373507977,1.902955055,-1.424314857,3.401682615,2.284270287,-1.868038177,-0.37083742,2.612849474,2.037880898,2.136522532,1.941699028,-8.464629173,-1.242375255,-2.379383087,2.059237719,2.889104605,3.025513887,1.720829368,3.049140692,0.948481679,0.20360063,0.984900057,1.72295177,1.75878787,2.581876278
17,13,ADVANCED,46,-0.871204078,8.460131645,-1.173327684,-0.616339564,7.241815567,8.610965729,7.638284206,3.314826012,5.889198303,8.353443146,8.200636864,5.34600687,4.676566124,4.729093552,5.315547466,4.45413208,8.461150169,-2.875144958,4.222474098,2.809409142,8.15920639,8.089313507,7.467795372,3.626121521,8.650351524,6.320799351,2.257279873,5.25731945,3.77063179,6.095695019,3.875935793,0.703727782,11.36950779,0.618295908,0.201321244,6.689321518,11.14355659,11.95538616,6.453861713,5.593900204,12.43850517,8.253761292,5.003153801,3.100584745,4.766326427,7.183293819,8.373467445,7.857903004,-0.551783621,5.084801674,1.36296308,8.952010155,10.56475163,11.41309834,7.105679989,9.133460999,6.28934145,1.912929058,4.129389286,3.497394085,6.205868244,4.80502224,0.57067889,8.458641052,0.570994139,-1.285466671,4.424476624,8.342607498,9.350384712,6.077495575,3.594565868,10.04975605,6.006345272,2.965387344,2.198149443,3.096813917,6.350721359,6.939510345,5.359625816,-1.051471949,2.251299143,0.18560563,6.280641556,8.239273071,9.786988258,6.241079807,6.688587666,3.681511879,0.833337903,3.074577332,1.718488455,4.914226055,4.775707245
18,14,ADVANCED,46,-4.19588995,1.429184794,-6.153277874,0.452543288,0.636995316,2.869192839,0.086309947,0.177885681,0.34741199,1.417753458,0.576791584,-0.795605183,0.198413789,2.822139502,-0.106937371,-0.923598349,1.143937111,-4.782087803,0.771999598,-1.215115547,2.785493135,0.24729307,2.327560425,-0.616104305,1.619379997,2.149649858,1.942146063,0.571999967,2.408898115,0.640518069,2.338365793,-5.903478622,6.425945759,-7.711881161,-2.454538822,2.662396193,5.05134058,5.288831711,1.880156279,0.370873839,6.147954464,4.384359837,0.020167658,0.939988792,2.226186752,3.133140802,2.148059368,2.966948271,-7.659554958,0.469666511,-1.214545965,4.645956039,4.908335686,5.132719517,1.822630405,5.266034126,3.112200737,0.53446579,2.055963278,1.862025976,2.811801672,2.558866739,-7.814676762,3.291213036,-8.507616997,-2.82699275,0.178803682,2.421041965,2.924669027,1.100750685,-2.0335114,3.097351313,1.953612566,-2.208321571,0.599726319,1.317197442,2.785282135,1.000448704,-0.068090305,-8.930699348,-1.718332171,-1.712434053,1.563017726,2.743674755,3.092442036,0.324112236,1.930242658,-0.075240731,-0.412365079,1.903684378,0.700171053,2.181566238,1.829720855
19,13,ADVANCED,41,-1.806141138,5.486902237,-2.270737886,0.230792359,4.561488152,6.085536957,7.488996983,7.817394733,3.048362255,6.461607933,6.045897484,2.440259695,2.294387102,4.924636841,6.825099945,7.598609447,4.885698795,-2.564976692,2.381948948,-0.945761263,5.139535904,6.973414421,7.065476418,7.18228817,5.305639267,3.889271736,1.748744845,3.660369873,3.410426378,6.344745159,6.168977261,-5.051773071,8.366502762,-5.064236164,-3.682952166,4.034650326,8.55559063,9.458638191,9.555803299,0.444515169,9.268529892,6.553346634,1.488536,0.161265671,3.694094896,6.939238071,8.607898712,4.145816326,-5.883284092,0.633658051,-0.697388053,6.470191956,8.58601284,9.88186264,8.523596764,6.577946663,3.502040386,-1.360319495,2.237032413,0.852563322,5.140944004,6.548703194,-1.377799034,7.226163387,-2.53149581,1.021674991,4.265758514,8.035421371,7.695886135,7.126923561,3.181297779,7.70479393,6.104123592,2.791504383,1.842646956,3.912986994,5.849803925,6.596400738,5.175257683,-1.16185081,3.166316986,-0.188308686,6.741452217,6.878361225,8.308978081,6.191976547,6.348764896,4.778204918,2.610240698,2.791811228,3.083674431,4.77499342,5.172411919
