,,,,,,,,,,,,WITHIN-PHRASE GRAMMATICAL_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE NUMBER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE GENDER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSS-PHRASE GRAMMATICAL_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSS-PHRASE NUMBER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSS-PHRASE GENDER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE GRAMMATICAL_250-400ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE NUMBER VIOLATION_250-400ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE GENDER VIOLATION_250-400ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSS-PHRASE GRAMMATICAL_250-400ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSS-PHRASE NUMBER VIOLATION_250-400ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSS-PHRASE GENDER VIOLATION_250-400ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,MONTHS ABROAD,INSTRUCTION,GJT ACCURACY_WITHIN-PHRASE GRAMMATICAL,GJT ACCURACY_WITHIN-PHRASE NUMBER VIOLATION,GJT ACCURACY_WITHIN-PHRASE GENDER VIOLATION,GJT ACCURACY_ACROSS-PHRASE GRAMMATICAL,GJT ACCURACY_ACROSS-PHRASE NUMBER VIOLATION,GJT ACCURACY_ACROSS-PHRASE GENDER VIOLATION,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
1,15,ADVANCED,45,24,9,90,100,97.5,92.5,100,100,2.92035532,5.468326569,2.507113934,1.540376782,4.848133087,5.547548294,3.209459782,2.020205498,6.497551918,4.206544399,4.457247734,4.900073528,3.043258429,1.985341907,2.404590607,1.773923755,7.143111229,1.703639269,4.960104465,1.890125751,5.178025246,3.698762178,5.130047798,1.858333111,6.478311062,5.568516731,1.612868905,2.285828829,1.951822996,2.232883692,1.955854774,2.808165073,9.523091316,2.465588331,1.825734019,8.318771362,8.262260437,7.780792713,6.766778469,7.572213173,9.363103867,8.048501015,6.929841042,3.545643806,3.490605593,3.375500441,6.851036072,9.549841881,2.324849844,5.990418434,1.923488736,7.429797173,7.560611725,8.8612957,6.705820084,9.293377876,6.745583057,3.254457235,1.851107717,3.158872843,2.227612734,4.445045471,3.406713247,5.818239212,2.716439486,1.548576355,6.236537933,5.223221302,5.090488434,3.457612514,6.232133865,5.647386551,5.970637321,5.261995316,2.75842309,2.632491827,2.676152706,4.353922844,6.922699451,2.256589651,3.899473667,1.9953655,4.857072353,5.035464287,5.704041004,3.866343498,5.884619713,4.510562897,1.769840121,2.074053049,2.665550232,2.299039841,2.63757205,5.463748455,0.615017116,5.081824303,3.635481834,2.492365122,2.332048178,0.192409694,-2.283698082,3.497290134,-0.073895976,1.598996997,3.004767418,2.544124365,1.785997272,0.61428535,-1.433992147,2.584819555,6.228675365,3.816084623,2.534448385,2.791205883,1.099492073,0.830540657,-1.742246151,1.608906984,3.213223219,3.092325449,1.704082608,2.329835176,1.472775459,-0.321280867,7.919291973,5.170872688,8.635861397,2.011895657,7.316738129,5.241387844,5.750101566,2.447809696,6.639908314,5.104073524,6.609390259,6.850310326,4.877988815,3.584782362,3.325697899,3.434812307,5.312032223,8.114919662,4.106507778,4.626619339,5.116843224,6.284840107,4.872690201,3.106962204,4.450585842,3.889435053,1.90189445,4.203722954,3.240053892,3.192110777,2.80594039,5.578530312,1.590703607,5.755214214,2.392746449,4.917433262,2.146289587,1.873102069,-0.21092096,4.330554008,1.172955036,3.500050306,4.593949795,3.480937719,1.31345439,1.042480826,0.437569559,3.135801554,6.287077904,2.634742022,3.821941376,2.052308798,2.502418041,2.011745214,0.151383653,1.210864067,2.14558053,1.1498878,2.15571785,1.253182292,1.403774381,0.452424109,5.599649429,4.442551613,4.976696014,4.10864687,4.676400661,4.393358231,2.568834782,1.409307599,6.650738716,3.660676956,4.033491135,5.488929272,2.98158145,0.77107656,1.638843536,0.028930556,6.489417076,4.781150341,5.889063835,3.811271191,4.289963245,3.195860863,4.485498905,-0.261226624,5.490340233,5.09956646,2.617707491,1.531006813,1.129094362,0.463405639,0.564073145,3.669567347,2.655496359,3.736148357,2.511106491,3.485002756,2.090470791,2.736172676,3.11253643,3.850337267,3.425037861,2.816806078,3.848125219,1.714372635,-0.85879457,0.960718811,1.682593584,4.472032547,3.887503624,4.098610401,1.991599321,1.581674695,2.20045948,3.989471674,1.515980244,2.971684694,2.651740789,1.330632329,0.025145236,-0.628762424,-0.454829127,0.116920181,6.309195995,1.661460161,5.404965401,3.893381357,3.568633318,2.004285812,2.974684477,0.549611568,4.991510868,2.059884548,2.824831009,4.239978313,2.1940341,0.749546349,1.84523201,1.109403968,4.209214687,5.605065346,4.152603149,3.237597227,1.955605984,2.528912783,3.110123634,0.096383512,2.148754597,2.880558729,2.039538145,1.750766635,1.58860898,1.187371373,-0.280197561,7.154288769,3.204794645,7.386335373,5.307217598,6.931023121,3.369611025,3.870638609,0.04975871,5.958953381,2.220403433,5.897159576,6.91366148,4.91136837,0.792118728,3.526767731,0.549845934,5.811121941,7.744550705,5.710547447,5.340042591,3.981834173,4.879968166,2.867773771,-0.782418907,4.859742641,4.875051498,3.626915932,3.127199173,1.341888547,2.899408579,0.239347667,7.697963238,1.897680879,7.789317131,4.779174805,4.644567966,2.280500174,2.430070162,0.498199701,5.244026661,1.807715654,2.988568544,5.627645016,1.931711793,1.980754137,0.907165647,0.093863003,3.940090656,8.581337929,4.657433033,3.34969449,2.458445787,2.832939386,2.847651482,-0.185459957,2.449767351,2.880548,1.98177135,1.244831562,2.078199148,0.101867616,1.113713861,6.024809837,1.084436655,6.239004612,5.636422634,5.752825737,3.683866262,4.282756805,0.67104423,4.337643623,0.813842535,4.955355644,5.39146471,3.839851379,3.30672574,3.398836374,0.844035268,4.075667858,7.221380711,5.051636696,4.764690399,3.669029474,4.376274586,3.823996067,-0.301363051,1.754720926,4.475301266,4.661962509,3.024987221,3.704236507,3.153892994,2.155990601
2,21,ADVANCED,45,24,4,100,92.5,82.5,100,75,67.5,-0.374161899,1.430795789,-0.06201192,-1.423153043,0.504249334,0.833041906,1.981704593,2.074254513,0.038328785,2.358018875,0.91628021,0.498421162,0.857818723,0.426564813,0.617571473,1.787740827,0.350470155,-1.39729917,-1.135325789,0.354365289,0.478013247,1.366363406,1.574712157,1.884963751,0.837172329,-0.319469392,-0.373200178,0.226078987,-0.371569484,0.265265882,0.584523737,0.972117007,6.59305048,2.265929461,-2.222158194,6.062726974,4.498276711,6.912849903,4.928199291,3.222205877,7.28057003,6.412103176,5.070711613,4.919979095,0.1548419,4.231686592,5.329283237,4.626664162,-0.454415232,1.179059505,4.539871693,3.372032166,6.400119305,5.527582169,5.287379742,5.795564175,1.569218516,-2.038125515,4.328591347,-0.911109924,4.748704433,1.720567584,3.406394005,3.544358492,3.639437914,0.747027934,4.269239426,3.511447191,3.35876441,2.747953176,3.342325926,3.425101995,3.666084051,4.745094776,2.510837793,1.78400147,2.079466105,2.619429588,3.569959164,1.941833973,1.422960639,3.821776628,3.213703156,3.378968477,3.841092825,2.605760813,3.74587059,2.428989172,0.940894127,1.970576406,1.610268712,2.023854017,1.622310996,1.935260892,2.951325417,2.191825867,2.049070597,3.489633799,2.93266964,2.487486601,1.777087212,3.717059851,2.83497715,3.161617041,3.613715649,2.202807188,2.220295668,1.326266646,1.003155947,3.861871004,2.115413427,3.716258049,0.832948327,3.171473503,2.913034201,2.426699162,1.595182419,3.380200386,3.992007256,2.831023216,1.871311665,2.273482323,1.613328338,1.601279616,1.517822862,5.691563129,2.465148449,-1.102062106,5.560849667,3.619577885,4.008881092,3.164581299,2.736116648,5.428291321,5.315366745,4.481766224,4.432662487,0.86769408,2.841481686,2.738910437,4.056921005,-0.274603069,0.573511064,3.936194658,3.285164118,4.777554035,3.843889952,3.20203352,5.762713909,1.439452171,-0.154840603,5.096138477,0.104489841,3.602535009,1.835949421,2.708348751,3.994521618,2.816028833,1.30039227,3.976958752,3.05798769,2.694690943,2.784376383,3.405976295,3.750400543,3.748318911,3.852370977,3.752705097,1.275246263,1.623341322,1.587441564,3.847700834,2.437899113,1.530345321,3.417443752,2.796650648,3.371789455,3.124410868,2.55168438,4.145710945,1.440320969,1.435950637,2.553016901,1.134218812,2.076693296,1.773708105,2.622502089,1.209338903,2.952646732,1.135786891,1.170140505,0.798083782,3.206429482,1.337051034,1.083974123,2.507050276,1.156641483,1.828748107,2.446381569,-0.97198838,2.417609215,2.671408653,1.292960882,1.870394826,-0.095976755,3.493983507,0.619422078,1.706635118,1.936673164,1.267637491,1.195864201,0.85531038,1.121489406,1.531740069,-0.635370433,1.148376822,-0.47516492,3.067305565,2.904169559,4.529650211,-0.637949705,3.872766018,1.552127123,5.545118332,3.213942766,1.43963325,3.856112957,3.710714817,3.898662567,4.384977341,-2.945988894,4.644576073,5.397655964,1.805986047,2.043742657,-0.583319545,5.831594944,0.288003176,4.038061619,3.091845751,3.808197975,1.993922114,-0.708085597,-2.3313272,3.776429415,-3.070943594,3.670421362,-0.736708522,5.80020237,1.369077206,6.233150959,3.374659538,4.11470747,1.428530216,3.127766132,0.21573247,4.291079998,1.182958126,2.851321697,5.568962097,3.683604717,-0.252779871,2.779752254,1.922029257,4.004977703,4.520987988,2.189180851,6.662054539,2.013664961,2.306348562,2.054446936,0.320151478,2.425822973,3.215270758,2.641182184,2.806525707,1.075941086,2.465049028,-0.74702704,4.843623161,4.480503559,4.469014168,3.583908796,4.697856426,4.002271652,4.658843994,1.921310544,5.51666069,3.824226379,4.006002903,5.044173717,2.723028421,1.093204498,3.943411112,3.448734999,6.163699627,4.757439613,4.725483418,2.529739141,4.54834795,3.945276022,4.136360645,1.87312448,5.193014145,5.474130154,3.326196194,2.205200195,1.715726972,2.633620024,1.31863904,4.898518562,5.473519325,5.316931725,2.728734255,6.069220543,4.617629051,4.68658638,2.576670408,5.49832058,5.303082466,4.8027668,6.296868801,4.244640827,0.040050127,3.141525745,3.465750456,6.235753536,3.640721083,4.299716473,4.829548836,4.793057919,4.464049339,4.870833397,2.25462079,6.210140228,4.349600315,1.704064369,3.721766233,-0.108254991,3.116217375,1.270792484,3.904560089,6.315162659,4.350920677,2.746376514,5.499047279,4.633869171,6.14306879,2.905585051,4.740206718,5.771945477,5.299508095,5.120054722,3.86777854,0.587812662,4.461423397,4.404271603,6.05433321,3.999170542,3.457138062,4.403146744,4.505393982,5.301018715,4.847528934,3.001066685,6.652242184,3.526032448,2.162851095,3.139933825,0.818042934,3.428300381,1.505256772
3,15,ADVANCED,45,1,3,92.5,95,87.5,92.5,100,92.5,4.914336681,5.968940258,4.002923012,3.422612429,6.712426662,4.933756828,5.158470631,0.63119024,7.489997387,4.860754013,6.488435745,5.584517479,4.415630817,2.281110048,2.702446222,2.066988468,8.35286808,3.895944595,6.455614567,4.530582905,5.635209084,5.861598492,4.260124683,1.320368886,7.335987568,6.054136276,4.110444546,4.402101994,3.733000278,3.727803469,-0.058882318,2.847732067,7.150278091,1.359146714,-3.079074144,6.584856033,4.334768295,7.006191254,2.604288816,6.452152729,7.33582449,7.093271732,7.788846493,2.045534134,0.159018233,3.658225298,4.665902138,7.971625328,1.234147549,3.937656403,2.007163048,4.709672451,6.574368,5.198083878,3.467621565,7.846758842,4.182282448,-1.828977585,2.475321054,0.331211209,3.331706762,-0.520224571,3.225765705,4.590360165,1.275649786,2.203056812,4.467586994,3.763223886,3.561005354,1.037760019,6.213573933,4.545386791,4.767015457,3.188393831,2.450583935,1.339297533,2.209318399,2.571670771,6.834071636,2.654790163,5.547949314,2.109161854,4.894411087,3.64346242,3.268470764,1.727303624,6.035743713,5.614644527,2.704560518,2.360419035,2.229706287,2.717447758,0.209508613,3.294855833,3.059515715,2.436504602,-1.357942104,4.404418468,1.918909073,2.801544189,-0.443063855,3.871151447,2.807510376,3.735249996,4.276072502,2.830887794,-0.236581847,2.534183025,0.88524586,3.554486513,2.621764421,2.003979683,3.972002506,2.22653985,3.495828629,1.999023557,-0.197598428,3.58697319,2.034103632,-0.851898611,2.949880362,-0.461367458,2.828671217,-0.546543956,1.906025529,2.784425497,1.929112792,-4.64788723,3.665371418,-0.065029733,2.944659948,-0.986099482,3.019950151,2.75928092,3.585772038,5.820870876,3.328070879,-1.187486649,2.81289053,1.229992151,3.867981672,0.209429249,0.141024798,3.524173498,0.4907507,2.570433378,0.547936976,0.051356602,3.355001926,0.157304868,-3.918457031,3.182421207,-2.220361948,2.680040359,-1.656711817,3.737517595,4.94352293,4.23168993,-1.788495183,7.280536175,3.089102268,5.06327486,0.788173497,6.206073761,4.511658192,6.250403881,6.916025162,3.944712877,1.520583868,3.845925808,2.041285515,6.295823097,2.525584221,3.14241457,4.464668274,2.955311537,5.622998238,3.246429205,1.035927296,5.784882069,2.842961073,-0.362963468,4.169056416,0.891468108,3.663554668,1.044360995,1.602627158,1.981457233,0.624944091,0.132761911,3.157876968,0.500567138,2.140026331,-0.663745403,3.833085775,0.532645464,2.899774551,0.903273046,1.650052786,-1.15750742,3.629598141,0.451900452,5.41255188,1.220962524,2.830178976,1.119113088,1.990438461,2.456306219,0.589184523,-1.24729228,4.337701797,2.832454681,0.46947211,2.517204046,-0.333045006,2.861900091,-1.489030838,-1.515850663,1.056937695,-2.585813761,-2.169408798,1.54694438,-0.134415612,2.542086363,1.0584445,0.401537329,0.595931113,2.059393167,1.378188968,-0.153154641,-1.920921922,3.619026184,1.408768654,2.179354906,-1.919355631,0.126999408,-0.305798948,1.076334357,2.147600412,0.840168238,-0.058851376,2.028622389,1.034790277,-1.531353831,0.022367617,-1.659269452,1.479723334,-0.868730783,1.126994371,2.368218184,-0.225418955,-0.282808334,2.972478151,0.928142846,3.339590549,0.797473907,3.685670614,2.125237942,3.552393675,1.911499619,1.514115095,-1.667532563,3.991551161,2.092979193,5.195327282,0.551009357,3.111042023,0.848199725,2.240873814,2.909473419,0.986101866,0.332828283,4.129245281,3.461328268,-0.172814384,1.833996296,-1.082209229,2.903707504,-0.884768546,1.099561095,0.523971975,1.078023195,-2.01509881,2.658117771,-0.290022135,0.746146023,-1.810233355,1.409120679,-0.442801327,2.055340528,2.238130569,1.93651557,-2.473708868,2.699803829,-1.309100986,2.645313501,0.941340864,0.80183202,3.158253908,0.891338348,1.335177541,-0.420550942,-2.996639967,2.478075504,1.203431129,-2.150202513,1.671266913,-2.746277571,1.764856219,-1.500598311,2.058390856,0.889353275,1.91423285,-0.660616159,3.418151855,-0.797554135,1.313376069,-2.331111193,3.795537472,-0.120758876,2.988375425,4.617369175,2.737936497,-1.987368107,3.200164795,-1.535455227,5.333640099,1.277522564,2.844935656,3.05282259,1.275342584,1.625982881,-0.751894891,-3.128353596,3.411872625,2.627543211,-1.247337341,2.499902487,-2.122224569,2.337441444,-1.504262328,1.888026953,3.162684917,1.975148559,-2.712834835,4.979021072,0.883427024,3.948354959,-0.105230086,3.96013236,1.701693535,4.320738792,3.642771721,1.377477407,-0.829025745,4.889723301,0.688162029,5.820990562,1.568290234,1.331642985,1.631552339,1.86010778,4.229805946,1.199913621,-1.117971539,5.141025543,1.800904751,-1.814098239,1.722215056,-1.394351125,2.555973768,0.075123467
4,12,ADVANCED,48,3,7,100,100,97.5,100,100,92.5,-6.291882515,5.775220871,-7.110586643,1.674364328,4.264438152,6.671257019,4.869808674,1.136402011,4.529741764,5.336941719,5.587450504,2.123183012,1.721530914,3.591419697,1.674445033,1.901895761,5.295107365,-5.747623444,3.642215967,-0.46656245,6.735399723,5.56099081,5.337206841,1.767595053,6.319971085,5.532394409,2.751175404,2.150576353,4.194006443,2.966275215,2.636701107,0.140631989,6.671444893,-1.888300657,3.493540049,5.16609478,8.130643845,7.779336452,5.295400143,3.75761199,8.906633377,6.032824039,4.427477837,3.849486589,5.496006966,5.283076763,5.614655972,3.661701679,-1.962779284,4.254069805,2.488975048,7.311062336,6.941467285,8.627711296,5.182867527,5.455859184,6.093058586,3.771951199,4.100340843,4.145472527,4.942480087,5.863275051,-1.521282434,4.52430439,-3.30482769,2.78140974,3.046007872,5.151945114,5.842029095,2.070374966,2.31831789,6.303815365,4.078865051,2.590275764,3.023173809,2.61044383,3.860050917,3.79564929,2.636836052,-2.777765036,2.751371145,1.888638973,4.974832058,5.513876438,5.327831268,2.782075167,3.369264603,4.388007164,2.792882204,3.409783125,2.930324793,3.920797825,2.47871089,1.412413597,2.963227272,-0.458544493,3.27690196,0.886417806,1.62669313,2.838855743,1.570096374,1.012708306,2.704602003,1.349541783,1.018302798,1.674023151,1.853577375,2.370042086,2.224569559,2.081034184,0.496318728,3.082472563,2.156636715,1.928387284,2.169521809,2.662952423,1.254406929,2.039526701,3.491421461,1.36727953,1.552571893,1.54921937,1.904651523,2.122684956,-1.053315639,3.559978247,-1.700966001,0.613331199,1.416830897,3.385852098,4.954004288,3.277023792,-0.686528563,6.131850719,2.165471792,0.126706496,2.244249105,1.191757202,3.925708771,4.037157059,-0.375399143,-0.860716522,0.081121817,1.814663291,2.386814117,3.952799559,5.055574894,3.291998863,0.967256367,0.886952043,0.149559468,1.911310434,0.869401276,2.979167461,2.395557404,0.060437765,1.890576243,-0.288725585,0.175129116,-0.004558208,2.127384663,3.669481754,2.594137907,-1.165901184,4.137387753,-0.239941165,-0.266949385,0.665166616,0.490307689,3.191717863,3.905215263,-1.859940767,-0.468793303,-1.207145572,0.167331889,0.823571205,2.35323143,3.539417744,3.625602484,-0.6971367,-0.031003365,-0.288987279,1.043719053,-0.086073942,1.86094749,1.273822784,3.870746851,4.780296803,2.87934494,6.522098064,5.68892765,6.212281704,6.516075134,4.284936428,7.916683197,5.750686646,5.085531235,5.871707439,2.949787617,1.808412433,4.904267788,5.344094276,6.969820499,4.796533108,7.736560345,3.671781301,6.075551987,5.676842213,6.151077271,4.251373291,5.414244175,6.929357529,4.847844601,2.368539333,2.790590286,3.409744263,2.221981525,10.46682835,5.488698483,9.388928413,9.230343819,7.995535374,6.350442886,8.508416176,5.511372566,9.78230381,6.990915775,7.00044632,9.446060181,7.591131687,2.153126478,7.41582346,6.76474905,8.004307747,9.383166313,9.759475708,8.380551338,6.37006712,7.50901556,6.882123947,5.331098557,6.207357407,8.201999664,6.348623753,6.272886753,2.86076045,6.321157932,2.286708832,7.631856918,4.763625622,5.841174126,7.999210835,5.609567165,5.023154736,7.780826569,3.907938719,8.536501884,6.192415714,5.885472775,6.825566292,5.245993614,0.949788094,6.607196808,5.81888485,7.50793314,7.380500317,8.397734642,6.301514149,5.281021118,6.970372677,5.503147125,4.166157722,5.103127956,7.092353821,5.182273865,5.002701283,2.580864191,5.577961922,0.967375517,5.369507313,1.593457222,4.053975105,4.351716518,1.871703267,2.508406162,4.873655796,4.667729855,2.732439756,2.454561949,1.986816764,2.804945707,1.802282214,0.642795742,5.372549534,5.292648792,2.398734093,5.002522945,4.002931595,3.213745117,1.866360545,3.520623446,4.206114769,4.150921822,1.323378682,3.352758408,2.02245307,1.791649818,0.173993021,2.551811457,2.597947359,4.378822803,1.622333884,3.913055182,4.050954819,2.333394289,1.485980988,5.585713863,4.454082966,2.80540967,4.298992634,2.051454782,2.828716993,2.497432709,-0.470457822,5.771175385,5.867722988,2.027619123,5.072107792,3.182946682,3.950261593,0.802653372,3.586205482,4.090432167,4.48050499,0.695715249,1.853408933,1.438563704,1.268155575,-0.408659756,2.915824175,1.246227503,8.509963036,0.32845825,8.51036644,5.423434258,2.865015745,1.29980576,4.006993771,3.496474504,5.134572029,1.695904851,1.354241729,4.578553677,2.982614994,-0.070657186,4.888431549,4.477460861,3.415603638,8.317288399,4.443350315,4.758603573,1.263774514,2.475027561,2.694847107,3.681010485,0.707853794,3.279622316,2.497003555,1.710321069,0.254587591,2.725364447,1.126779675
